year,parameter,variant,country,scenario,uncovered_share,storage_cost_usd_yr_per_100mw_mid
2030,lambda_inf_band,lambda_inf_mid,CH,L0_W0,0.39980767046064447,44051893.42963327
2030,lambda_inf_band,lambda_inf_mid,CH,L3_W3,0.05382998313201837,5931133.531076294
2030,lambda_inf_band,lambda_inf_mid,CL,L0_W0,0.31296716694305404,34483571.23630218
2030,lambda_inf_band,lambda_inf_mid,CL,L3_W3,0.04815332370866155,5305663.800428259
2030,lambda_inf_band,lambda_inf_mid,CN,L0_W0,0.15456603539521876,17030504.97061773
2030,lambda_inf_band,lambda_inf_mid,CN,L3_W3,0.04071632266707507,4486234.856149691
2030,lambda_inf_band,lambda_inf_mid,CO,L0_W0,0.3977731428831699,43827723.66340718
2030,lambda_inf_band,lambda_inf_mid,CO,L3_W3,0.04206055974015473,4634346.542499381
2030,lambda_inf_band,lambda_inf_mid,CR,L0_W0,0.38523822970764593,42446592.93442022
2030,lambda_inf_band,lambda_inf_mid,CR,L3_W3,0.03754525885275878,4136838.4450056027
2030,lambda_inf_band,lambda_inf_mid,CU,L0_W0,0.29272308173218126,32253023.024802655
2030,lambda_inf_band,lambda_inf_mid,CU,L3_W3,0.049107917519595,5410843.535422781
2030,lambda_inf_band,lambda_inf_mid,CV,L0_W0,0.2809833739068373,30959510.17793498
2030,lambda_inf_band,lambda_inf_mid,CV,L3_W3,0.05292241831735654,5831135.578435956
2030,lambda_inf_band,lambda_inf_mid,CZ,L0_W0,0.3279014199288988,36129067.73271914
2030,lambda_inf_band,lambda_inf_mid,CZ,L3_W3,0.04460592548765695,4914801.843717631
2030,lambda_inf_band,lambda_inf_mid,DE,L0_W0,0.22465768747929304,24753393.289286222
2030,lambda_inf_band,lambda_inf_mid,DE,L3_W3,0.05595008162810199,6164731.733187314
2030,lambda_inf_band,lambda_inf_mid,DK,L0_W0,0.24540071860138907,27038916.71445044
2030,lambda_inf_band,lambda_inf_mid,DK,L3_W3,0.04965378495547052,5470988.68992717
2030,lambda_inf_band,lambda_inf_mid,DO,L0_W0,0.3342091423452626,36824069.69541089
2030,lambda_inf_band,lambda_inf_mid,DO,L3_W3,0.032548293127501855,3586259.2093773144
2030,lambda_inf_band,lambda_inf_mid,DZ,L0_W0,0.3539816672473997,39002660.11319892
2030,lambda_inf_band,lambda_inf_mid,DZ,L3_W3,0.048881129817819696,5385855.4513816545
2030,lambda_inf_band,lambda_inf_mid,EC,L0_W0,0.49546224796993393,54591374.19957663
2030,lambda_inf_band,lambda_inf_mid,EC,L3_W3,0.050373027203162495,5550236.751398606
2030,lambda_inf_band,lambda_inf_mid,EE,L0_W0,0.299019485277766,32946777.843614638
2030,lambda_inf_band,lambda_inf_mid,EE,L3_W3,0.048686050268545306,5364361.057577166
2030,lambda_inf_band,lambda_inf_mid,EG,L0_W0,0.26942218251368055,29685666.755711116
2030,lambda_inf_band,lambda_inf_mid,EG,L3_W3,0.04654563301957123,5128524.080167209
2030,lambda_inf_band,lambda_inf_mid,ES,L0_W0,0.2625923550139555,28933137.838959683
2030,lambda_inf_band,lambda_inf_mid,ES,L3_W3,0.05946923591700205,6552481.6968597155
2030,lambda_inf_band,lambda_inf_mid,ET,L0_W0,0.2855582955315813,31463587.449964162
2030,lambda_inf_band,lambda_inf_mid,ET,L3_W3,0.0503467802392979,5547344.789736934
2030,lambda_inf_band,lambda_inf_mid,FI,L0_W0,0.3158683149892367,34803227.59608832
2030,lambda_inf_band,lambda_inf_mid,FI,L3_W3,0.05392440253182325,5941536.916616902
2030,lambda_inf_band,lambda_inf_mid,FJ,L0_W0,0.3388298923467621,37333196.46227984
2030,lambda_inf_band,lambda_inf_mid,FJ,L3_W3,0.05331830122806095,5874755.031191503
2030,lambda_inf_band,lambda_inf_mid,FR,L0_W0,0.2363730769301572,26044226.671701074
2030,lambda_inf_band,lambda_inf_mid,FR,L3_W3,0.05095683411533426,5614562.180295063
2030,lambda_inf_band,lambda_inf_mid,GB,L0_W0,0.2330358194857091,25676518.595663678
2030,lambda_inf_band,lambda_inf_mid,GB,L3_W3,0.0465120792833596,5124827.03851201
2030,lambda_inf_band,lambda_inf_mid,GF,L0_W0,0.3171010102169995,34939049.29941397
2030,lambda_inf_band,lambda_inf_mid,GF,L3_W3,0.08586282110616485,9460598.49371691
2030,lambda_inf_band,lambda_inf_mid,GH,L0_W0,0.2880889871608715,31742425.917040873
2030,lambda_inf_band,lambda_inf_mid,GH,L3_W3,0.042925177576548665,4729612.480599823
2030,lambda_inf_band,lambda_inf_mid,GR,L0_W0,0.40199894758514004,44293334.2860627
2030,lambda_inf_band,lambda_inf_mid,GR,L3_W3,0.04842565314149931,5335669.795909286
2030,lambda_inf_band,lambda_inf_mid,GT,L0_W0,0.3855077726284161,42476291.904444486
2030,lambda_inf_band,lambda_inf_mid,GT,L3_W3,0.037235087115556946,4102662.8817995326
2030,lambda_inf_band,lambda_inf_mid,HN,L0_W0,0.3475727252429945,38296505.50178421
2030,lambda_inf_band,lambda_inf_mid,HN,L3_W3,0.03990798294481342,4397169.793293388
2030,lambda_inf_band,lambda_inf_mid,HU,L0_W0,0.35173601143671235,38755227.66564719
2030,lambda_inf_band,lambda_inf_mid,HU,L3_W3,0.046364442781771216,5108560.048369471
2030,lambda_inf_band,lambda_inf_mid,ID,L0_W0,0.40997039767729354,45171650.276185125
